Year,GDP Growth (%),Inflation Rate (%),Interest Rate (%),Exchange Rate (USD/INR),Fiscal Deficit (% of GDP),Exports (Billion USD),Imports (Billion USD),FDI (Billion USD),Money Supply (M3) Growth (%),Bank Credit Growth (%),Unemployment Rate (%),Private Consumption (% of GDP),Fixed Capital Formation (% of GDP),Trade Balance (Billion USD),^NSEI Close Price,^BSESN Close Price,CCI,Manufacturing PMI
1980,6.735821529,0.7605620121687253,0.5781034352685186,0.0,0.45399698340874806,0.0,0.001001578663947806,0.0011423825560846993,0.7642276422764229,0.0,0.0,1.0,0.0,0.9525545116547355,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1981,6.006203626,0.9281261575389015,0.6355282551152674,0.010645131991116816,0.47662141779788836,5.984423994701352e-05,0.00027357858193598206,0.0013406524354356106,0.5365853658536586,0.020081470106118715,0.0,0.9629629629629628,0.011837267502181392,0.9581459068747367,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1982,3.47573324,0.4327962349905247,0.8732414699985738,0.021304059146859372,0.5369532428355956,0.0007417638442337397,0.0,0.0010323707430123425,0.33333333333333326,0.0631426483176718,0.0,0.9407407407407407,0.08293381583863346,0.964366144296149,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1983,7.288892903,0.810078632823481,0.832640464786305,0.02991789249851587,0.5972850678733032,0.0016947737877662118,0.0009038987388615034,0.0,0.5934959349593496,0.06917205934062809,0.0,0.9185185185185185,0.05532921992588924,0.9638407026919459,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1984,3.820737856,0.4734110488814823,0.8886679605950312,0.0468264704341316,0.6726998491704375,0.002462190904616449,5.4152066832558604e-05,0.00021132212680565702,0.5609756097560976,0.11009758740542352,0.0,0.8962962962962964,0.07276536188258476,0.9747243918252286,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1985,5.254299223,0.21136743202372527,0.9544009951905834,0.06028935584011039,0.7481146304675717,0.0010126338298073068,0.0016262920844935247,0.001560831445497093,0.4959349593495934,0.11837424709191102,0.0,0.8666666666666671,0.13181541325961277,0.9544024262302563,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1986,4.776564168,0.5123800083640193,0.9912284346799896,0.06352852110731977,0.8431372549019609,0.0019506686714753207,0.0012969533456411338,0.0017416983246160524,0.5121951219512195,0.1548073807786684,0.0,0.837037037037037,0.19983560578057102,0.9626220780492141,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1987,3.965355635,0.5191533524037355,0.7645599871575202,0.06822057197192072,0.793363499245852,0.005467305051982665,0.0035561072348188165,0.003211474791778912,0.5365853658536586,0.14248055463369558,0.0,0.8148148148148149,0.2954384367283893,0.968396759326997,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1988,9.627782916,0.5743935371161573,0.8610649196027087,0.08100663341803643,0.7481146304675717,0.008411519973211634,0.006545469593996916,0.0013302417130120966,0.6422764227642277,0.13932283121611289,0.0,0.7851851851851857,0.24142195741585692,0.9653624910411676,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
1989,5.947343332,0.35534820554675534,0.8429183590111209,0.1118941096424885,0.7179487179487178,0.012149585463744351,0.008839946649324418,0.0038295920126854587,0.7560975609756098,0.17803383470666967,0.0,0.7555555555555555,0.3036923431748684,0.9722671300532801,0.16936968734955016,0.008724021029718101,1.0,0.7362637362637354
